Topic,Count,Name,Representation,Representative_Docs
-1,146,-1_government_maharashtra_bharat_ensure,"['government', 'maharashtra', 'bharat', 'ensure', 'state', 'india', 'development', 'pm', 'congress', 'education']","[""Employment / Industry India is leaping ahead towards becoming a $ 5 trillion economy in which Maharashtra will contribute a lion's share of $ 1 trillion economy. The path is set to fulfil the resolution of 'Viksit Bharat’. Nationalist Congress Party is committed to ensure that Maharashtra remains the main contributor of progress of developed India. Maharashtra is the number one state in the country in collection of Goods and Service Tax. The share of GST in state's own revenue will increase further to make Maharashtra's contribution the highest in the economic progress of the nation. Maharashtra is the largest industrialised state in the country. Maharashtra accounts for 14.2% of the country's GDP. Maharashtra accounts for 17.3% of total exports. So, we will ensure that the leap will be even higher as there is a Mahayuti Government in the state and NDA led Governmentin the centre. Maharashtra is the leading state in the country to attract Foreign direct investment. Maharashtra alone accounts for 38.78% of the total FDI in the country. At the World Economic Forum (WEF) in Davos in January 2024, the state signed MoUs with more than Rs."", ""Urban Development Cities are considered to be the engines of growth. Safe, pleasant and eco-friendly cities are considered to be assets of the country. Maharashtra's urbanisation rate is 46%. That means, half of Maharashtra is urban and hence urban development is one of the leading priorities of the NCP. Our policy is to accelerate development projects which enhance the livelihood of the citizen by enabling urban infrastructure and transport facilities. Our party ensures affordable housing, network of public transport, a safe city for women and a dignified life for senior citizens. Our party gives importance to environment, aesthetics, art and culture, gardens and playgrounds for a clean city and pollution free air. Our party will ensure that the indigenous tribal citizens of newly created Nagar Panchayats and Municipal Councils in the tribal dominated areas will not be deprived of the benefits of tribal welfare measures. We will insist that 3 crore new dwellings under PM Awas Yojana should be available."", 'Human Resources Everyone has different skills and abilities. Making each person economically self-reliant and industry friendly helps local employment and decentralization of industries. We believe that new entrepreneurs will come up in rural areas by effectively implementing the policies of skill development & thus paving the way for decentralisation of industries. This will generate large employment opportunities if combined with Human Resources development. We are committed to make Maharashtra the skill capital of the nation. By expanding the scope of Vishwakarma Scheme, efforts will be made to expand the industries based on modern technology of skill development for 12 Balutedar classes. The Nationalist Congress Party will strive to increase the remuneration of skill trained youth working on contract basis in private companies up to Rs. 20 thousand per month. “Atma Nirbhar Bharat is our resolution”. Women and Child Welfare, Gender The Nationalist Congress Party is committed to provide opportunities to women, girls, and children of the state to implement the right to equality given to all citizens by the constitution of India and implement its welfare schemes and policies for their development in social, economic and other spheres. Matrushakti and Matrusanman are the thread of our party.']"
0,65,0_education_students_educational_state,"['education', 'students', 'educational', 'state', 'ensure', 'communities', 'st', 'institutions', 'government', 'higher']","['EDUCATION Owing to the success of its schemes, Bengal has achieved a 0% dropout rate at the upper primary level and linguistic demands of all states. » We will not implement the 5+3+3+2 structure and instead encourage each state to follow its own educational structure pertinent to its own needs » We will abolish common entrance tests nationwide and restore the rights of state educational institutions to conduct their own admission processesal India’s budget expenditure on education will be increased to 5% of the overall budget. TMC will ensure that education is re-prioritized. We will double the expenditure on education from 2.5% to 5% of overall budget. The enhanced budget will be spent towards more effectively implementing the fundamental Right To Education, through free/subsidised provision of uniforms, study materials, mid-day-meals, etc. to all students up to Class XII, all across the country. We will further take steps to re-evaluate the needs of the states in consultation with state Education Departments to enhance their spending on education as well. All teaching vacancies in Union Government universities will be filled on priority. TMC will prioritise the filling of all teaching vacancies to close all teacher shortages in Union universities.', 'and make it optional for state governments to adopt these examinations for admissions or conduct their own examinations meeting the prescribed standards to state-funded and state-approved higher educational institutions. 17. Congress will revive the Education Loan programme to college students implemented under the UPA government and instruct banks to extend collateral-free education loans up to 7.5 lakhs especially to students belonging to the SC, ST, OBC, EWS and minorities. 18. Due to widespread unemployment, as a one-time measure of relief, the amount due including unpaid interest as on 15 March 2024 in respect of all student educational loans will be written off and the banks will be compensated by the government. 25. We will assist state governments to establish state-of-the-art Internet-enabled public libraries in state, district and taluk headquarters. 19. Congress will ensure that serving teachers are represented in the governing bodies of colleges and universities.', 'Expand Central Govenment Schools: Increase the number of Kendriya and Navodya Vidyalayas in coordination with State Governments. Scholarship Enhancements: Restore and increase scholarships for underprivileged groups and ensure complete funding. Inclusive Education: Guarantee inclusive education for children with disabilities. Accessible College Education: Assist states in establishing Government Colleges in every Tehsil/Taluka focused on vocational skills, with modern infrastructure and internet-enabled libraries. Educational Loan Relief: Propose a one-time write-off of unpaid educational loan interest as of 15 March 2024, with government compensation to banks. Revive Education Loans: Reinstate the Education Loan program, offering collateral-free loans to disadvantaged students. Staffing in Higher Education: Demand filling of all teaching and non-teaching positions in central universities and institutions. Higher Education Quality Norms: Implement stringent quality norms for higher educational institute accreditations. Exam Policy Participation: Revisit central qualifying examination policies like NEET and CUET, offering states a say in participation decisions.']"
1,55,1_tamil_india_government_state,"['tamil', 'india', 'government', 'state', 'people', 'security', 'dmk', 'union', 'indian', 'tamil nadu']","[""Tamil as a Co-Official Language in Union Government Offices in Tamil Nadu: Tamil will be declared as a Co-Official Language in Union government offices in Tamil Nadu, ensuring that all Union government offices, institutions and nationalized banks in Tamil Nadu operate in Tamil as well, with relevant amendments to Section 343 of the Indian Constitution to be introduced by the new government. Equal Funding for All State Languages Including Tamil: The Indian Constitution's Eighth Schedule mandates equal rights for all languages in India. However, the Union government's 2023-2024 budget allocates Rs. 1487 crores for the development of Hindi and only Rs. 74 crores for Tamil. The new government in the Union will ensure equal funding for the development of all state languages. Tamil as an Official Language of the Madras High Court: According to the Official Languages Act of 1963, Section 7, Hindi or the respective state's official languages can be used in the judgments and orders of the state High Courts."", ""The Dravida Munnetra Kazhagam (DMK) is the first party in India to have created a tradition of publishing a manifesto before every General Election – with a promise to implement various schemes once in power, and presenting these commitments to the public to seek their support in the electoral arena. The DMK has not only fulfilled the promises made to the people in these manifestos by enacting them into laws and schemes after forming the Government, it has continuously contributed to the progress of India by being a pioneer and leading the way for all states at the national level through ensuring that the Tamil language, the Tamil community, and the state of Tamil Nadu all attain exemplary progress and identity. It is with these sentiments that this manifesto for the 18th Indian Lok Sabha Elections has been prepared, and will be presented to the people of Tamil Nadu by our party’s leader, the Honourable Chief Minister of Tamil Nadu. Let's unite! Victory shall be ours! We will do what we say! We will say what we do! Naadum Namadhae! (This is our country!) Tamizhnattin Narpadum Namadhae!"", 'The AIADMK\'s anti-people and anti-Tamil actions: During its ten-year rule in Tamil Nadu, the AIADMK led the state to the bottom in industrial development in India. Contrary to the Tamil language and ethnic sentiments, it supported the BJP\'s ""One Nation, One X"" (Language, Election, Education Policy, etc.) slogans, acting against the overall development of Tamil Nadu. Similarly, by voting against the amendment proposed by the DMK to include Sri Lankan Tamils in the Citizenship Amendment Act, and by providing its crucial votes for the passage of the current version of the CAA, it showed its antipathy to both Sri Lankan Refugees, and Secularism in India. Tamil Nadu and its people know well the record of achievements when the DMK was in the Union Government and even when it ruled the state. We assure that the trust and expectations placed in the DMK will be met without fail, and we will work diligently to ensure the progress of Tamil Nadu and India through this election manifesto.']"
2,48,2_water_climate_infrastructure_environment,"['water', 'climate', 'infrastructure', 'environment', 'sustainable', 'forest', 'conservation', 'rivers', 'management', 'fishing']","['Scrap the environmentally disastrous and pro-corporate Islands Development Plan for Andaman and Nicobar and Lakshadweep island chains; re-examine feasibility and location of proposed naval base in A&N Scrap environmentally dangerous National Oil Palm Mission with highly inflated claims of yields and focusing on eco-sensitive North-East and Andaman Islands Water Resources Re-formulate National Water Policy treating water as a scarce public good; tackle the growing water crisis; enhance equitable water availability for optimized domestic use, irrigation and industry through effective protection of rivers, expansion of water bodies and increased groundwater recharge; appropriate legislation, effective regulation and demand management of water; water audits and measures to conserve, treat and recycle water especially in urban areas; Equitable provision of WHO-standard piped potable drinking water to all households Halt privatization of water resources and water distribution utilities in urban areas, and recognise the right to water as part of the right to life.', 'Congress will address the issues of environment and climate change with the seriousness they deserve. 1. We will constitute an independent Environment Protection and Climate Change Authority to establish, monitor and enforce environmental standards and to enforce the National and State Climate Change plans. 3. We will strengthen the National Clean Air Programme in order to urgently tackle the problem of air pollution. 4. Congress will work with state governments to stop the discharge of effluents into the rivers and water bodies of India. 2. We will launch a Green New Deal Investment Programme focused on renewable energy, sustainable infrastructure and the creation of green jobs. 5. Congress will appoint a high-level committee to study the issue of landslides in the hill districts, evolve measures to prevent landslides and ensure citizens’ safety. 9.', 'Waste Management: Strengthen waste management, recycling and reduce plastic pollution in aquatic environments. Sustainable Development: Balance economic growth with environmental care and social equity. Environmental Education: Invest in programs to empower community-led environmental protection efforts. Disaster Resilience: Improve natural disaster preparedness through early warning systems and community-driven initiatives. International Environmental Efforts: Engage in global environmental initiatives for shared solutions and governance. Expert Committee for Eco-sensitive Areas: Establish a committee to assess and prevent construction impacts in Himalayan regions. State Collaboration on Environmental Standards: Partner with state governments to jointly address air and water quality, forest cover and other environmental issues. Comprehensive Water Management: Devise strategies for sustainable use and conservation of water resources. Water Infrastructure Investment: Collaborate with states for clean water supply and sanitation to improve public health. Water Conservation Measures: Promote rainwater harvesting, desalination, recycling and groundwater recharge.']"
3,44,3_railway_tourism_project_new,"['railway', 'tourism', 'project', 'new', 'chennai', 'established', 'rail', 'constructed', 'station', 'railway station']","['Perambalur: A new broad-gauge railway line will be constructed from Attur railway station to Perambalur and Ariyalur railway station. Ariyalur: 1. A new rail line from Ariyalur to Chidambaram via Jayankondam and Kattumannarkudi will be established, initiating rail service. 2. Fast and special trains will be facilitated to stop at the Ariyalur municipality railway station. Trichy: 1. Trichy Ponmalai railway workshop will be converted into a coach factory, with efforts undertaken in collaboration with BHEL Trichy. 2. A high-level road will be constructed from Palpannai to Thuvakudi on the national highway. Cuddalore: 1. Cashew exporters will be facilitated with the re-provision of a 5% RoTDEP (Remission of Duties and Taxes on Exported Products). 2. The initiative to replace old cashew trees with new high-yielding cashew saplings with subsidy will be undertaken. 3. All types of trains going to southern parts and Chennai will be arranged to stop at Pennadam railway station, improving its standards. Mayiladuthurai: The abandoned Mayiladuthurai to Tarangambadi railway track, closed 30 years ago, will be restored to facilitate travel to Karaikal, Nagore, Velankanni and Thirunallar.', ""Erode: 1. A new broad-gauge rail line project from Erode railway station to Kangayam, Dharapuram, and Palani railway stations will be completed. 2. A cancer research centre by the Union government will be established in the Erode parliamentary constituency. Tirupur: Proposals will be made to provide fee concessions to transport essential commodities like maize and soy through Indian Railways cargo trains from various parts of India to Tamil Nadu to reduce the cost of these essential grain supplies. The Nilgiris: 1. The minimum price for green tea leaves for small tea farmers in the Nilgiris district will be set at Rs 35 per kilo. 2. Tourist spots and access roads in the Nilgiris district will be developed through the Indian Tourism Development Corporation. Coimbatore: 1. Night train services from Coimbatore to southern districts for Tamil Nadu traders will be introduced. 2. Pollachi's tender coconut and coconut will receive GI tagging, and a COLD STORAGE facility will be established in Pollachi. 3. Pollachi railway station will be renovated. 4. The Cheran Express service will be extended to Pollachi. 5. Coimbatore Metro Rail Project service will be extended to Tirupur. 6. A broad gauge railway project from Mettupalayam-SathyamangalamGobichettipalayam-Erode will be completed."", 'A new railway line project from Jolarpettai station to Krishnagiri and Hosur will be established. 9. A railway line will be constructed from Kallakurichi to Tiruvannamalai. 10. The Kamban Express train service on the Pattukkottai route will be resumed. 11. New railway lines will be constructed between Pattukkottai-Mannargudi and Pattukkottai-Thanjavur. 12. Rail services from Thiruvarur to Madurai, Thiruchendur and Palani will be introduced. 13. A daytime rail service between Thiruvarur and Chennai will be initiated. 14. To facilitate long-distance trains for passengers from the Cauvery delta regions, a rail coach maintenance facility near Thirunageswaram railway station close to Kumbakonam will be established. 15. Metro rail services will be introduced in Trichy, Tirunelveli, Salem, Thoothukudi and Thanjavur in Tamil Nadu. 16. The railway lines of Karaikal, Nagapattinam and Thanjavur will be doubled. 17. Like the dedicated freight corridor operating between Delhi and Mumbai, a new fast freight corridor linking Chennai, Coimbatore, and Thoothukudi will be implemented. 18. A new railway line along the East Coast from Chennai to Kanyakumari will be established.']"
4,42,4_bjp_government_crore_people,"['bjp', 'government', 'crore', 'people', 'led', 'india', 'years', 'electoral', 'led union', 'bjp led']","['841 Crore of Gram Sadak Yojana funds From rural to urban civic amenities, the BJP-led Union Government has stifled infrastructural development in Bengal by withholding ₹48 Crore of Atal Mission for Rejuvenation and Urban Transformation (AMRUT) funds The BJP jomidars did not sanction a single rupee to Bengal for the Ghatal Master Plan, risking the lives and livelihood of around 17 Lakh people residing in flood-prone areas The BJP-led Union Government’s glaring incompetency and inefficacy have resulted in approximately 60% of Union Government projects getting stalled or delayed, leading to ₹4.7 Lakh Crore of cost overruns The BJP-led Union Government failed to fulfil their promise of increased air connectivity and affordable air travel — 93% of routes under the UDAN scheme have failed to sustain operations even with hefty concessions The BJP-led Union Government’s gross negligence of ageing railway infrastructure has resulted in 244 train accidents (between 2017 and 2022).', 'delayed payments of their rightful dues, unleashed massive fraud and worsened discrimination in revenue distribution The BJP-led Union Government has amassed a shocking ₹100 Lakh Crore of debt — two times more than the sum total of 14 previous Governments BJP-led Union Government recklessly flouts its own Fiscal Responsibility and Budget Management (FRBM) borrowing limits while hypocritically restricting states’ ability to borrow up to even their basic limits What the Maa-Mati-Manush Government did: Bengal’s once-floundering economy has been revived and elevated to new heights by the TMC Bengal is set to be India’s 4th largest economy (net value added) — our GDP has grown from ₹5.2 Lakh Crore in 2011-12 to ₹18.8 Lakh Crore in 2024-25 — (2X higher than India’s growth) Our residents continue to prosper — the average per-person income has nearly tripled from ₹51,543 in 2011-12 to ₹1,41,373 in 2022-23 In the last decade, Bengal has more than doubled its exports, from ₹55,589 Crore in 2010-2011 to ₹1.1 Lakh Crore in 2021-22 Bengal’s budget has increased over fourfold in the last 13 years, growing from ₹84,804 Crore in 2011-12 to ₹3.66 Lakh Crore in 2024-25 (50%) higher than the increase in Union budget)', 'the BJP-led Union Government has led farmers into a debt trap Agriculture’s share in the Union budget has dwindled from 4.4% to 2.5% over the past 4 years, hurting farmers with minimal investment in infrastructure, subsidies, or support programmes The BJP-led Union Government promised to double farmers income by 2022, but at current rate it won’t happen before 2035 The inefficiency of the BJP-led Union Government is glaringly evident — it has only recovered 1/10th of the ₹3,000 Crore transferred to 42 Lakh fraudulent beneficiaries under PM Kisan Samman Nidhi What the Maa-Mati-Manush Government did: The fortunes of the farmers of Bengal have undergone a stunning transformation in the last decade The budget for Agriculture and Allied Services has increased tenfold, from ₹2,274 Crore in 2010-11 to ₹22,620 Crore in 2024-25 Under Krishak Bandhu scheme, over 1 Crore of small and marginal farmers are being provided financial assistance of ₹10,000 p.a.']"
5,40,5_women_gender_reservation_children,"['women', 'gender', 'reservation', 'children', 'girls', 'safety', 'sexual', '000', 'bjp', 'state']","['We will ensure that laws intended to prevent offences against women such as the Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013 and the Protection of Women from Domestic Violence Act, 2005 are strictly enforced. 12. The government will fund state governments to build sufficient night shelters for migrant women workers and adequate number of safe and hygienic public toilets for women will be provided in towns and cities. Free napkin vending machines will be installed in public spaces, schools and colleges. 2. We will reserve one-half (50 per cent) of central government jobs for women starting in 2025. 13. In partnership with the State governments, the Central Government will double the number of working women hostels in the country, with at least one Savitribai Phule Hostel in each district. 3.', 'Through these measures, we will help India’s girls gain vital skills and knowledge that will help them become economically independent. Existing laws and acts designed to tackle gender discrimination or inequality in the workplace will be reviewed. TMC will safeguard the rights of women in India’s workplaces. Fast-track courts will be established in every district. TMC will ensure swift justice for women through dedicated, fast-track courts. To tackle the backlog of crimes against women, we will establish 766 fast-track courts, 1 in each district of India. They will be empowered to expedite justice delivery, particularly in cases of crimes against women and offences covered by the Protection of Children from Sexual Offences (POCSO) Act. A new policy for the reintegration of women into the workforce will be established. TMC will take measures to make it easier for women dropouts to reenter the labour force. To enhance the currently dire women’s labour force participation rate in the Indian economy, we will introduce a new policy for the lakhs of women who are forced to prematurely drop out of the workforce as a result of pregnancy, marriage, or other socio-economic pressures.', '11.65 Lakh women have received the Old Age Pension, 20 Lakh women have benefited from the Widow Pension, providing financial independence and security to vulnerable women With India’s only woman Chief Minister and one-third of TMC MPs as women in the outgoing Lok Sabha, Bengal has set the pace in women’s political representation Reservation for women in Panchayati Raj Institutions has been expanded to 50%; the number of elected female representatives has increased from 21,351 in 2008 to 30,458 in 2023 Putting women’s safety at the forefront, 49 women police stations have been established in the state What the TMC Government pledges to do: Uphold the dignity, promote the financial independence, and ensure the safety of every Indian woman The revolutionary Lakshmir Bhandar Scheme will be further strengthened. TMC will continue to economically empower the women of Bengal. Financial assistance under the programme has been enhanced to ₹1,000 per month for general women (₹12,000 annually), and to ₹1,200 per month for SC/ST women (₹14,400 annually). This will continue to be delivered to all 2.1 Crore beneficiaries via Direct Benefit Transfer (DBT). 33% Reservation for women in the State Assembly will be formally enforced.']"
6,33,6_gst_tax_sector_public,"['gst', 'tax', 'sector', 'public', 'private', 'public sector', 'financial', 'land', 'banks', 'states']","[""Ensuring affordable electricity at subsidized rates; repealing of the Electricity (Amendment) Bill 2022; halting prepaid smart metering in the TOTEX model by private corporations; rollback privatization of public electricity sector; reintegration of all unbundled power utilities; cancellation of existing private licenses in the power sector; eradication of the virtual private power market and dynamic pricing. Restricting private monopolies in essential infrastructure sectors, including ports-to-power conglomerates, data storage and handling; building a strong public sector data infrastructure to secure Indian citizens' sovereign data and implementing policies to limit the free use of personal data by private corporations. Repealing the Telecommunications Bill, 2023; reversing pro-private telecom policies to encourage telecom and internet penetration in rural and remote areas via public sector; strengthening public sector telecom companies BSNL and MTNL by guaranteeing a level playing field and rapid roll-out of 4G and 5G services."", ""Adequate compensation will be provided based on damage assessments for small traders, commercial enterprises, manufacturers, and large corporations affected by natural disasters such as floods, heavy rains, cyclones and earthquakes. Goods and Services Tax (GST) Reforms: 1. The Union government's financial contributions to states will be based on the income tax and GST collected in those states. Thus, financial contributions will be assured based on the taxes collected within each state. The finance provided to states will be permanently determined based on the 1971 population. 2.Service tax, additional tax, excise duty, and all other taxes collected will be considered as shared revenue between Union and state governments. 3. GST collection will be fully managed by state governments, and the surplus amount after the state's share will be provided to the Union government. Weaver Welfare: 1. GST on raw materials such as silk, wool and zari used by weavers will be completely removed. 2. The Handloom (Reservation of Articles for Production) Act of 1985 will be amended, and rules will be made stricter. 3. GST exemptions will be provided for yarns, dyes/chemicals, and handloom products to protect the handloom industry. 4. New textile parks and textile markets will be established. 5."", ""Stop PSB funding for private MFIs; separating commercial institutions from banks. Scrapping of the Regional Rural Banks (Amendment) Act 2015. Reinstating co-operatives as a state subject; repealing the Banking Regulation1949 Amendment Act, 2020; permitting primary agriculture credit societies to collect deposits under the supervision of RBI; strengthening the co-operative banks to save people from the clutches of usurious lending; and exempting co-operative banks from income tax. Delinking Development Financial Institutions (DFIs) from commercial banks; banking sector will focus on enhancing the average person's purchasing power. No further dilution of government shares from the LIC; removal of GST on life, medical and general insurances; public sector general insurance companies will be consolidated to gain economies of scale. Prohibit illegal flows of capital to tax havens; plug loopholes in double tax avoidance agreements to ensure fair taxation. Strengthening of chit fund legislation to protect deposits, confiscate Ponzi scheme owners' properties, and compensate affected depositors. Restricting foreign direct investment (FDI) in the financial sector.""]"
7,24,7_manufacturing_economic_india_economy,"['manufacturing', 'economic', 'india', 'economy', 'global', 'employment', 'hub', 'jobs', 'digital', 'industries']","['Ensuring Employment Opportunities for Youth With PLI and Make in India programmes, manufacturing has emerged as a major economic sector with good success in electronics, defence, mobile, automobile, etc. We will continue to work towards making Bharat a global manufacturing hub and enhance employment in this crucial sector. ae Employment Generation Through Investment in Infrastructure fal A Unprecedented investment in infrastructure has created a large number of employment opportunities. We will continue this investment for employment growth. fel Establishing Global Centres for High-Value Services We will further strengthen our efforts to make Bharat the global hub for High-Value Services by establishing more Global Capability Centres (GCCs), Global Tech Centres (GTCs) and Global Engineering Centres (GECs).', ""& Expanding Employment Opportunities Despite global challenges and unprecedented events such as the Covid pandemic, our economic policies have been successful in creating a substantial number of employment opportunities. Our strategic Focus on sectors like manufacturing, services, rural industry, infrastructure, tourism, and skill development, coupled with support through credit facilities via Svanidhi and Mudra, has greatly expanded livelihood ey prospects. We are committed to increase employment, self-employment, and the enhancement of livelihood opportunities for our citizens. Developing Bharat as a Trusted Global Value Chain Partner Our policies such as Make in India and PLI have significantly increased manufacturing activities. We recognise that manufacturing presents huge potential for employment creation. We will make Bharat a trusted Global Manufacturing Hub through a series of programmes including simplification of regulatory processes, investment in infrastructure to meet the requirements of manufacturing hubs, bringing capital to the industry and investing in research and development. 4 Increasing the Exports We will promote Bharat's exports through international cooperation, infrastructure development and simplification of laws S TAX"", 'MODI «i GLOBAL MANUFACTURING HUB In the last ten years we have made significant progress in the manufacturing sector. We launched a series of programmes like Make in India, PLI, and simplification of compliances to expand manufacturing. We will further harness the potential of manufacturing in creating employment opportunities and expanding economic activity. We believe that our talent in research and design can be best complimented by expanding the manufacturing sector. We also understand the need for self-reliance and resilience in global value chains. Therefore, we will make all efforts to develop Bharat as a Global Manufacturing Hub. Global Manufacturing Hub Under the Make in India programme, manufacturing has emerged as a major economic sector with good success in electronics, defence, mobile, automobiles and more. We will work towards making Bharat a global manufacturing hub and enhance employment in these crucial sectors. Becoming Product Nation We are a major engineering and design services hub in the world with many complex products being designed in Bharat. We will build on this strength to become a major Product Nation by combining our strength in product design services with manufacturing.']"
8,20,8_media_digital_surveillance_commission,"['media', 'digital', 'surveillance', 'commission', 'internet', 'data', 'privacy', '2023', 'act', 'promise']","['MEDIA In the last ten years, significant sections of the media have been robbed of, or surrendered, their freedom. Congress will help the media re-discover the freedom that they enjoy under the Constitution. 5. All media houses, irrespective of the size, will be required to disclose their ownership structures (direct and indirect), cross holdings, revenue streams, etc. through their websites. 1. Congress has always believed that self-regulation is the best way to correct the misuse of the media. Congress will amend the Press Council of India Act, 1978 to strengthen the system of self-regulation, protect journalistic freedoms, uphold editorial independence and guard against government interference. 6. Congress will pass a law to preserve the freedom of the Internet and to prevent arbitrary and frequent shutdowns of the Internet. 2.', '• A common Media Council for print, electronic and digital media will be set up, with representatives from the media, media unions and independent public persons; a Media Commission will be established to study the deplorable working conditions of journalists and the new trends in the media since the onset of globalisation. • Working Journalists Act will be restored and strengthened to include journalists and workers from all – print, digital and electronic media organisations to ensure decent wages and job security; a new wage board for journalists in print, electronic and digital media to revise wages in media organisations will be constituted. • The 2021 amendments to the IT Rules will be withdrawn and the draft Registration of Press and Periodicals Bill, 2022, will be reviewed; the draft Broadcasting Services (Regulation) Bill, 2023 replacing the Cable Television Networks (Regulation Act), will not be considered.', 'Congress will amend the Press Council of India Act, 1978 to empower the Council to deal with the menace of fake news and paid news. 7. Many new laws (e.g. the Broadcasting Services (Regulation) Bill, 2023; Digital Personal Data Protection Act, 2023; Press and Registration of Periodicals Act, 2023, etc.) give unbridled powers of censorship to the government. The first named Bill will be withdrawn. The restrictive provisions of the two Acts will be amended or deleted to eliminate backdoor censorship. 3. Congress will defend independent journalism by enacting laws to protect journalists from coercive action by the State. This includes restricting the powers of the government for surveillance of journalists, seizure of their devices and exposure of their sources. 8. Congress will amend the Cinematograph Act, 1952 to provide that the Central Board of Film Certification grants graded certificates to according to transparent and reasonable criteria. 4. Congress will pass a law to curb monopolies in the media, cross-ownership of different segments of the media, and control of the media by business organisations. Congress will refer cases of suspected monopolies to the Competition Commission of India.']"
